ID,Value,Level,Description
string,string,int,string
Nobility_1,贵族,1,贵族在你治下势如破竹，几乎可以用“王在名义，权在贵族”来形容。他们建造金色庄园，举办百日宴会，而你，仿佛是他们的皇冠装饰。
Nobility_2,贵族,2,贵族对你心怀敬意却不越界，他们在朝堂分担事务，在边境保家卫国。这正是国王与贵族共治的理想状态。
Nobility_3,贵族,3,贵族圈风雨飘摇，权力边缘摇摇欲坠。你仍坐于王位，但他们的眼神中，多了一丝试探，少了一份忠诚。
Nobility_4,贵族,4,王国贵族或被压制，或已没落。曾经的世家今朝化为农夫，他们不再与你同桌吃酒，而你，也不需为他们担心。
Wealth_1,财富,1,你的王国金银堆积，民众称你为“金币之王”。财富使国家如日中天，却也如烈日焚身，只等下一位觊觎者来访。
Wealth_2,财富,2,你精准地驾驭国库之舟，既未贫穷潦倒，也未贪腐滔天。金库的钥匙仍握在你手中，而国家仍行在希望之路上。
Wealth_3,财富,3,钱财在你的统治中未能大放异彩。你会计算开支，却难以为国家赢得富裕之名。金库虽未空，却也寂寥。
Wealth_4,财富,4,王国陷入赤贫，商人离去，工匠哀叹，民众靠信仰过活。你的王冠甚至可能是借来的。
Faith_1,信仰,1,教堂钟声为你而响，神职者为你祈祷千遍。你与神同行，甚至让人分不清你是王，还是圣徒的化身。
Faith_2,信仰,2,你小心翼翼地游走于神与人之间，让信仰成为国家的稳定之力，而非统治者。你尊神却不屈服于神，这是明智之举。
Faith_3,信仰,3,你的治下，信仰之火渐熄。圣坛冷清，祭司沉默，民众开始倾听另一个声音，一个不属于你的声音。
Faith_4,信仰,4,教会与你断绝联系，圣职者宣告你为“不洁之王”。王宫中没有圣水，只有阴影。你的灵魂或许早已被放逐。
People_1,民心,1,百姓爱你如父母，街头巷尾传颂你的功绩。王座虽高，你却始终被人民托举。他们愿意为你而战，为你而死。
People_2,民心,2,你获得了足够的民心，以稳政局。人民虽不会高呼你的名字，但也不会举起锄头。这是政权最长久的模样。
People_3,民心,3,民众既不支持，也不反抗，他们将你视作遥远的存在。你是传说中的国王，而不是他们的现实。
People_4,民心,4,暴民在街头游行，王宫的墙壁布满石痕。你是他们愤怒的靶子，是他们饥饿的根源。哪怕你从未亏待他们，他们也不会再听你的声音。
